symbol_id,seal_id,symbol_index,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,stroke_density,bbox_area_ratio,bbox_aspect_ratio,skeleton_pixel_fraction,endpoint_count,junction_count
page660_H-107_a_c1_sym_001,page660_H-107_a_c1,1,0.0016854745149743988,2.2868625257134105e-06,1.3064018353055294e-13,1.3758503394469668e-13,1.796003633348037e-26,2.0377328600652501e-16,4.2048793789722446e-27,0.017578125,0.02197265625,10.0,0.0,0.0,0.0
page660_H-107_a_c1_sym_002,page660_H-107_a_c1,2,0.0012090842059376747,8.736773937674826e-07,3.1712210345915066e-12,1.8753783342118947e-12,4.4239015523127965e-24,1.7528926907656527e-15,-1.160084677611594e-24,0.0673828125,0.10791015625,2.6153846153846154,0.02294921875,0.0,94.0
page660_H-107_a_c1_sym_003,page660_H-107_a_c1,3,0.011150445186034611,0.0001234376424571651,1.7636987416760536e-08,1.7636987416760536e-08,3.110633251389695e-16,1.959513294418821e-10,0.0,0.0146484375,0.0146484375,0.15,0.0,0.0,0.0
page660_H-108_A_c0_sym_001,page660_H-108_A_c0,1,0.0010978399284456335,2.171642733515547e-09,6.737435081985284e-13,6.369324090298631e-13,3.4862446527930615e-26,-2.9666039677833374e-17,4.157823168791685e-25,0.743896484375,0.984375,0.984375,0.580810546875,6.0,2277.0
page660_H-108_c1_sym_001,page660_H-108_c1,1,0.0010978399284456335,2.171642733515547e-09,6.737435081985284e-13,6.369324090298631e-13,3.4862446527930615e-26,-2.9666039677833374e-17,4.157823168791685e-25,0.743896484375,0.984375,0.984375,0.580810546875,6.0,2277.0
page660_H-109_A_c0_sym_001,page660_H-109_A_c0,1,0.0016854745149743988,2.2868625257134105e-06,1.3064018353055294e-13,1.3758503394469668e-13,1.796003633348037e-26,2.0377328600652501e-16,4.2048793789722446e-27,0.017578125,0.02197265625,10.0,0.0,0.0,0.0
page660_H-109_A_c0_sym_002,page660_H-109_A_c0,2,0.0012090842059376747,8.736773937674826e-07,3.1712210345915066e-12,1.8753783342118947e-12,4.4239015523127965e-24,1.7528926907656527e-15,-1.160084677611594e-24,0.0673828125,0.10791015625,2.6153846153846154,0.02294921875,0.0,94.0
page660_H-109_A_c0_sym_003,page660_H-109_A_c0,3,0.011150445186034611,0.0001234376424571651,1.7636987416760536e-08,1.7636987416760536e-08,3.110633251389695e-16,1.959513294418821e-10,0.0,0.0146484375,0.0146484375,0.15,0.0,0.0,0.0
page660_H-1_L_c1_sym_001,page660_H-1_L_c1,1,0.004428527292857802,1.8664961270077358e-05,4.554173823590392e-10,4.397421524991606e-10,1.9668451308394621e-19,1.880753841966928e-12,-6.427616469559028e-21,0.04833984375,0.115234375,7.375,0.025634765625,3.0,78.0
page660_H-1_L_c1_sym_002,page660_H-1_L_c1,2,0.001556543731101804,1.5417843581301149e-06,1.6771832889808484e-10,1.2735198420867013e-10,1.8557263774327604e-20,1.5771849776120268e-13,1.429596817648495e-21,0.06591796875,0.1396484375,3.3846153846153846,0.019775390625,0.0,81.0
