page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
36,37,0,"86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said","86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said",233,3022,2032,73,1355,M,332,,,,M-332
36,37,1,"86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said","86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said",233,3022,2032,73,1567,M,453,,,,M-453
36,37,2,"86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said","86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said",233,3022,2032,73,1779,M,445,,,,M-445
36,37,3,"86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said","86 Of the objects illustrated in the colour photographs, 10 (M-332), 20 (M-453), 23 (M-445) and 26 (H-231) are said",233,3022,2032,73,2044,H,231,,,,H-231
36,38,0,"to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32","to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32",233,3097,2032,66,1726,M,449,,,,M-449
36,38,1,"to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32","to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32",233,3097,2032,66,1938,M,440,,,,M-440
36,38,2,"to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32","to be faience (20 “with a white glossy coat"", 23 with traces of green glaze); 21 (M-449), 22 (M-440), 31 (K-89), 32",233,3097,2032,66,2141,K,89,,,,K-89
36,39,0,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,233,3163,2031,67,283,K,96,,,,K-96
36,39,1,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,233,3163,2031,67,563,D,3,,,,D-3
36,39,2,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,(K-96) and 35 (Sktd-3) are pottery (21 once coated with dark chocolate coloured slip); and 24-25 (M-534) copper. All the,233,3163,2031,67,1933,M,534,,,,M-534
